Type,Entry Date,Entry Price,Exit Date,Exit Price,PnL,Cumulative_PnL
BUY,2024-01-17 10:15:00+05:30,1371.099976,2024-01-17 12:15:00+05:30,1365.449951,-565.0024414,-565.0024414
SELL,2024-01-17 12:15:00+05:30,1365.449951,2024-01-19 15:15:00+05:30,1368.224976,-277.5024414,-842.5048828
BUY,2024-01-19 15:15:00+05:30,1368.224976,2024-01-23 09:15:00+05:30,1356.275024,-1194.995117,-2037.5
SELL,2024-01-23 09:15:00+05:30,1356.275024,2024-01-25 15:15:00+05:30,1355.5,77.50244141,-1959.997559
BUY,2024-01-25 15:15:00+05:30,1355.5,2024-02-06 11:15:00+05:30,1435.224976,7972.497559,6012.5
SELL,2024-02-06 11:15:00+05:30,1435.224976,2024-02-08 09:15:00+05:30,1439.550049,-432.5073242,5579.992676
BUY,2024-02-08 09:15:00+05:30,1439.550049,2024-02-08 10:15:00+05:30,1431.650024,-790.0024414,4789.990234
SELL,2024-02-08 10:15:00+05:30,1431.650024,2024-02-08 13:15:00+05:30,1441.574951,-992.4926758,3797.497559
BUY,2024-02-08 13:15:00+05:30,1441.574951,2024-02-16 14:15:00+05:30,1460.599976,1902.502441,5700
SELL,2024-02-16 14:15:00+05:30,1460.599976,2024-02-19 14:15:00+05:30,1473.550049,-1295.007324,4404.992676
BUY,2024-02-19 14:15:00+05:30,1473.550049,2024-02-20 12:15:00+05:30,1463.550049,-1000,3404.992676
SELL,2024-02-20 12:15:00+05:30,1463.550049,2024-02-20 13:15:00+05:30,1469.275024,-572.4975586,2832.495117
BUY,2024-02-20 13:15:00+05:30,1469.275024,2024-02-22 11:15:00+05:30,1468.25,-102.5024414,2729.992676
SELL,2024-02-22 11:15:00+05:30,1468.25,2024-02-22 13:15:00+05:30,1473.474976,-522.4975586,2207.495117
BUY,2024-02-22 13:15:00+05:30,1473.474976,2024-02-28 10:15:00+05:30,1464.875,-859.9975586,1347.497559
SELL,2024-02-28 10:15:00+05:30,1464.875,2024-03-01 12:15:00+05:30,1482.150024,-1727.502441,-380.0048828
BUY,2024-03-01 12:15:00+05:30,1482.150024,2024-03-06 12:15:00+05:30,1484.275024,212.5,-167.5048828
SELL,2024-03-06 12:15:00+05:30,1484.275024,2024-03-06 13:15:00+05:30,1496.175049,-1190.002441,-1357.507324
BUY,2024-03-06 13:15:00+05:30,1496.175049,2024-03-07 13:15:00+05:30,1484.675049,-1150,-2507.507324
SELL,2024-03-07 13:15:00+05:30,1484.675049,2024-03-20 11:15:00+05:30,1438.800049,4587.5,2079.992676
BUY,2024-03-20 11:15:00+05:30,1438.800049,2024-03-26 13:15:00+05:30,1442.525024,372.4975586,2452.490234
